shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
7168,14336,6.5,1,64,2,8,4,10,0.9,-888.179467545291,0.1,SUCCESS,1
6656,6144,2.0,1,32,16,8,4,10,0.9,-891.1271386066047,0.1,SUCCESS,1
7680,14336,5.5,1,64,2,8,4,10,0.9,-643.024972671183,0.1,SUCCESS,1
6656,19456,7.5,1,16,16,8,10,10,0.9,-889.7727459592796,0.1,SUCCESS,1
6656,13312,7.5,300,16,16,8,10,10,0.9,-894.6388042527143,0.1,SUCCESS,1
7680,14336,4.5,100,20,2,4,10,10,0.9,-837.1524545389663,0.1,SUCCESS,1
7680,14336,8.0,100,64,16,8,4,10,0.9,-890.1632425633875,0.1,SUCCESS,1
8192,6144,4.5,1,4,8,8,10,10,0.9,-0.0,0.1,SUCCESS,1
6656,14336,3.5,200,64,2,8,4,10,0.9,-881.1535758934893,0.1,SUCCESS,1
7680,6144,6.5,200,4,1,8,10,10,0.9,-634.4942443744594,0.1,SUCCESS,1
6144,10240,2.0,100,64,1,8,4,10,0.9,-880.9854305063398,0.1,SUCCESS,1
7680,12288,0.5,100,32,16,8,4,10,0.9,-856.8026570732762,0.1,SUCCESS,1
4608,5120,8.0,1,64,16,8,4,10,0.9,-826.3366407100555,0.1,SUCCESS,1
7168,25600,7.5,300,20,16,8,4,10,0.9,-669.7689973669737,0.1,SUCCESS,1
7168,23552,7.5,300,16,4,8,4,10,0.9,-723.0035768527313,0.1,SUCCESS,1
6144,14336,5.0,1,20,16,8,4,10,0.9,-864.4231839638885,0.1,SUCCESS,1
6144,46080,1.1,1,64,2,8,10,10,0.9,-858.7644657032004,0.1,SUCCESS,1
5632,13312,0.5,1,64,2,8,4,10,0.9,-880.2174622041164,0.1,SUCCESS,1
2560,23552,7.5,200,8,16,4,4,10,0.9,-596.913953364267,0.1,SUCCESS,1
7680,21504,0.5,1,24,2,8,10,10,0.9,-878.71328944014,0.1,SUCCESS,1
7680,12288,6.0,1,32,1,8,4,5,0.9,-533.1763276041871,0.1,SUCCESS,1
6656,14336,2.0,100,64,2,4,10,10,0.9,-633.8877657935435,0.1,SUCCESS,1
7680,12288,1.5,1,64,8,8,10,10,0.9,-871.3514948457073,0.1,SUCCESS,1
3072,10240,1.5,1,64,16,8,4,10,0.9,-662.4476961192826,0.1,SUCCESS,1
5632,13312,2.0,1,64,2,8,10,10,0.9,-858.8354618836923,0.1,SUCCESS,1
5632,15360,6.0,100,24,2,8,4,10,0.9,-870.3808665597647,0.1,SUCCESS,1
7680,35840,2.5,300,24,8,4,4,10,0.9,-531.2682625108467,0.1,SUCCESS,1
6144,23552,3.0,100,8,1,8,4,10,0.9,-837.0639570015683,0.1,SUCCESS,1
6144,13312,0.1,200,24,16,8,4,10,0.9,-818.0603118208719,0.1,SUCCESS,1
5632,6144,3.0,100,24,16,4,10,10,0.9,-846.8760065621061,0.1,SUCCESS,1
7680,14336,6.5,1,24,2,8,10,10,0.9,-750.228248773857,0.1,SUCCESS,1
7168,13312,8.0,1,64,2,4,4,10,0.9,-874.6689690518724,0.1,SUCCESS,1
5632,25600,7.0,100,16,1,8,10,10,0.9,-860.0366346637979,0.1,SUCCESS,1
4608,23552,5.5,1,24,2,4,10,10,0.9,-832.3511621469697,0.1,SUCCESS,1
7680,12288,5.5,300,64,16,8,10,10,0.9,-868.6879313812929,0.1,SUCCESS,1
7680,13312,7.5,1,8,16,4,10,5,0.9,-751.2644518786577,0.1,SUCCESS,1
7168,25600,4.5,100,24,16,8,4,10,0.9,-858.0027432676867,0.1,SUCCESS,1
7680,29696,1.0,100,16,1,4,4,10,0.9,-863.43727253013,0.1,SUCCESS,1
5632,30720,6.5,100,20,8,8,10,10,0.9,-881.2151209225269,0.1,SUCCESS,1
8192,8192,7.0,300,16,2,4,4,10,0.9,-0.0,0.1,SUCCESS,1
6144,6990,8.0,400,16,8,4,4,10,0.9,-813.9353243131733,0.1,SUCCESS,1
5632,13312,7.0,1,20,2,8,4,10,0.9,-860.428286022684,0.1,SUCCESS,1
6144,35840,4.0,1,20,16,4,10,10,0.9,-881.7065576289557,0.1,SUCCESS,1
7680,13312,1.5,1,64,1,4,10,10,0.9,-893.3801476993079,0.1,SUCCESS,1
7168,23552,7.5,400,16,16,8,4,10,0.9,-868.4693179461738,0.1,SUCCESS,1
7168,6990,5.0,300,20,16,8,4,10,0.9,-867.6633554646469,0.1,SUCCESS,1
5632,14336,4.5,1,32,8,8,4,10,0.9,-855.9243816623605,0.1,SUCCESS,1
7168,19456,7.5,200,16,16,8,4,10,0.9,-860.3763293719004,0.1,SUCCESS,1
7680,46080,7.0,100,8,2,4,4,10,0.9,-815.6980551109622,0.1,SUCCESS,1
7168,8192,5.5,200,64,2,4,4,10,0.9,-724.7763143069977,0.1,SUCCESS,1
5632,29696,8.0,300,8,4,4,10,5,0.9,-725.8526595847972,0.1,SUCCESS,1
5632,5120,6.0,100,16,1,4,4,10,0.9,-857.7453943973499,0.1,SUCCESS,1
6656,25600,6.5,400,16,1,4,4,10,0.9,-796.4613269483311,0.1,SUCCESS,1
4608,4096,5.5,300,24,4,8,4,10,0.9,-822.507919360985,0.1,SUCCESS,1
6144,14336,3.5,100,8,8,4,4,5,0.9,-766.6426320939015,0.1,SUCCESS,1
6656,6144,0.5,300,20,16,4,10,10,0.9,-758.6738820184916,0.1,SUCCESS,1
5632,14336,6.5,1,32,2,4,4,10,0.9,-855.2714061809309,0.1,SUCCESS,1
3584,12288,4.5,1,64,16,8,10,5,0.9,-655.289891053687,0.1,SUCCESS,1
4608,21504,1.1,1,64,16,8,4,5,0.9,-729.0258422718952,0.1,SUCCESS,1
6144,13312,6.0,1,64,2,8,4,10,0.9,-822.8207348195496,0.1,SUCCESS,1
5632,13312,2.5,1,24,4,8,4,10,0.9,-857.0781033021412,0.1,SUCCESS,1
7680,11264,5.0,1,64,2,8,10,10,0.9,-620.7343995687709,0.1,SUCCESS,1
5120,10240,6.0,300,4,16,4,4,10,0.9,-468.3512135840042,0.1,SUCCESS,1
5632,5120,5.0,1,4,4,8,10,5,0.9,-564.0597531138532,0.1,SUCCESS,1
7680,9216,1.1,200,8,4,8,4,5,0.9,-708.8256685643962,0.1,SUCCESS,1
6144,10240,8.0,300,64,1,8,4,10,0.9,-847.3477479208882,0.1,SUCCESS,1
7168,23552,7.5,300,24,16,8,4,10,0.9,-831.5861509529713,0.1,SUCCESS,1
7680,14336,4.5,1,64,2,8,10,10,0.9,-853.8475178294559,0.1,SUCCESS,1
7168,23552,2.5,300,8,16,8,4,10,0.9,-815.1913111780398,0.1,SUCCESS,1
6656,5120,2.0,100,24,1,8,10,10,0.9,-868.9767601525232,0.1,SUCCESS,1
5632,6144,5.0,1,24,2,4,10,10,0.9,-838.9054073825205,0.1,SUCCESS,1
4608,10240,4.0,1,64,4,4,10,10,0.9,-716.4778884101177,0.1,SUCCESS,1
6144,19456,7.0,1,16,8,8,4,10,0.9,-792.8290961367329,0.1,SUCCESS,1
5632,7168,4.0,100,64,1,8,4,5,0.9,-583.0082598125192,0.1,SUCCESS,1
6656,13312,0.5,100,4,1,4,4,5,0.9,-645.8682351398327,0.1,SUCCESS,1
5632,7168,6.5,300,32,2,8,4,10,0.9,-850.3776443995656,0.1,SUCCESS,1
6144,27648,3.5,200,4,16,4,10,10,0.9,-624.4692744226958,0.1,SUCCESS,1
7680,5120,6.0,200,64,16,8,4,10,0.9,-834.216738784538,0.1,SUCCESS,1
6144,9216,4.0,300,24,2,8,4,10,0.9,-843.2594911112883,0.1,SUCCESS,1
7680,13312,3.0,1,20,16,8,10,5,0.9,-748.4310882625914,0.1,SUCCESS,1
7680,7168,3.0,1,24,2,8,10,10,0.9,-864.8856346455334,0.1,SUCCESS,1
5120,7168,8.0,400,64,2,4,4,10,0.9,-836.2858854000298,0.1,SUCCESS,1
4608,4096,8.0,300,24,2,4,4,10,0.9,-819.857965128289,0.1,SUCCESS,1
7680,27648,5.5,1,4,2,4,10,10,0.9,-670.5729783789387,0.1,SUCCESS,1
7168,12288,2.5,100,24,2,4,10,10,0.9,-890.1880117291757,0.1,SUCCESS,1
6656,9216,5.0,1,64,2,8,10,10,0.9,-884.4678243132557,0.1,SUCCESS,1
3584,6990,6.0,300,16,16,8,4,10,0.9,-690.0236909409654,0.1,SUCCESS,1
7168,23552,7.0,300,16,16,8,4,10,0.9,-854.1377179086013,0.1,SUCCESS,1
7680,29696,7.0,1,32,4,8,10,5,0.9,-723.6594518882702,0.1,SUCCESS,1
5120,13312,6.0,200,24,2,8,4,5,0.9,-741.4011932560558,0.1,SUCCESS,1
5632,12288,7.0,100,8,1,4,4,10,0.9,-807.0777898323532,0.1,SUCCESS,1
4608,7168,2.5,300,16,8,8,4,5,0.9,-715.6589747965379,0.1,SUCCESS,1
7680,11264,6.5,1,64,8,4,4,5,0.9,-715.6749465641301,0.1,SUCCESS,1
7680,17408,5.5,400,20,16,8,4,10,0.9,-852.8098069565507,0.1,SUCCESS,1
6144,12288,2.0,1,32,2,4,4,10,0.9,-867.6849533489185,0.1,SUCCESS,1
4608,11264,6.5,300,20,1,8,10,10,0.9,-826.6259011162279,0.1,SUCCESS,1
7680,25600,7.0,1,32,2,4,4,10,0.9,-848.0559600353454,0.1,SUCCESS,1
5632,17408,1.5,1,16,16,4,4,10,0.9,-846.8297163557979,0.1,SUCCESS,1
5120,11264,2.0,1,64,2,8,4,10,0.9,-875.0473124742243,0.1,SUCCESS,1
6144,6990,6.0,400,8,16,8,4,5,0.9,-735.5525049421316,0.1,SUCCESS,1
7680,35840,5.0,400,24,16,4,10,5,0.9,-748.4495773056168,0.1,SUCCESS,1
6144,8192,7.0,1,16,16,4,10,10,0.9,-849.7905275753022,0.1,SUCCESS,1
4096,40960,6.0,300,32,8,8,4,5,0.9,-692.2730509355414,0.1,SUCCESS,1
6656,13312,6.0,300,16,1,8,4,10,0.9,-826.5876584975255,0.1,SUCCESS,1
5632,40960,0.1,1,32,16,8,4,10,0.9,-742.4196057813762,0.1,SUCCESS,1
6656,7168,6.5,400,24,1,8,10,5,0.9,-737.6393227259573,0.1,SUCCESS,1
7168,19456,2.5,300,64,16,4,10,5,0.9,-723.2383141807774,0.1,SUCCESS,1
3584,9216,3.0,100,20,1,4,4,10,0.9,-646.0995722174732,0.1,SUCCESS,1
6144,17408,5.5,100,64,16,8,4,10,0.9,-567.0848421132118,0.1,SUCCESS,1
5632,6144,3.0,1,16,1,4,10,10,0.9,-836.8192579463389,0.1,SUCCESS,1
6144,10240,5.5,1,64,16,8,4,10,0.9,-842.3912619120182,0.1,SUCCESS,1
7680,23552,7.5,300,16,16,4,10,10,0.9,-829.3369467870077,0.1,SUCCESS,1
7680,14336,4.5,1,20,4,8,10,10,0.9,-830.1846884884156,0.1,SUCCESS,1
7168,17408,5.5,100,32,2,8,4,10,0.9,-844.4808320015169,0.1,SUCCESS,1
6144,14336,5.5,100,64,16,8,10,10,0.9,-806.5215701367883,0.1,SUCCESS,1
6144,11264,6.0,300,16,16,8,10,10,0.9,-841.3299272824522,0.1,SUCCESS,1
7168,9216,3.0,1,64,8,8,4,10,0.9,-846.0145854373429,0.1,SUCCESS,1
7168,17408,3.0,1,32,2,4,10,10,0.9,-839.6605418430654,0.1,SUCCESS,1
2560,29696,0.1,200,4,2,8,4,10,0.9,-443.32803690425806,0.1,SUCCESS,1
5632,13312,1.1,1,64,1,4,4,5,0.9,-716.6955558889172,0.1,SUCCESS,1
5120,21504,8.0,1,8,16,4,4,10,0.9,-798.0152981342237,0.1,SUCCESS,1
4608,30720,6.5,100,16,2,4,4,10,0.9,-807.0310483019917,0.1,SUCCESS,1
6656,9216,6.0,200,32,16,4,4,10,0.9,-825.1521943688831,0.1,SUCCESS,1
5632,14336,7.5,1,24,4,8,10,10,0.9,-789.5562653219979,0.1,SUCCESS,1
7680,10240,1.5,1,64,16,4,4,10,0.9,-831.8819467779942,0.1,SUCCESS,1
6144,6144,1.5,1,64,8,4,10,10,0.9,-837.6843407724489,0.1,SUCCESS,1
7680,25600,5.0,100,64,16,8,10,10,0.9,-814.6609540256343,0.1,SUCCESS,1
4096,11264,7.0,1,24,1,8,4,10,0.9,-750.1849482234852,0.1,SUCCESS,1
5632,19456,7.5,100,64,1,8,4,10,0.9,-824.4276436432735,0.1,SUCCESS,1
5120,6144,2.0,1,32,4,8,4,10,0.9,-825.4927168593857,0.1,SUCCESS,1
6144,13312,4.5,1,4,2,8,4,5,0.9,-575.4600314545229,0.1,SUCCESS,1
5120,51200,7.0,400,20,2,8,10,5,0.9,-715.4381709288685,0.1,SUCCESS,1
2048,9216,6.5,400,24,8,8,10,10,0.9,-438.4112596383464,0.1,SUCCESS,1
7168,11264,1.5,100,8,1,8,4,10,0.9,-811.8636555850754,0.1,SUCCESS,1
7680,25600,6.0,300,8,2,4,4,10,0.9,-792.8806761736967,0.1,SUCCESS,1
5632,15360,5.5,1,64,2,8,4,10,0.9,-697.1748710505359,0.1,SUCCESS,1
7680,10240,6.5,400,20,16,8,4,10,0.9,-808.1428901720166,0.1,SUCCESS,1
7168,17408,6.0,1,64,16,4,4,10,0.9,-831.4862190014154,0.1,SUCCESS,1
6144,21504,5.0,1,64,2,8,4,5,0.9,-697.8029993182977,0.1,SUCCESS,1
5632,14336,0.1,200,8,1,8,4,10,0.9,-781.3448734273394,0.1,SUCCESS,1
6656,9216,7.0,200,64,1,4,4,10,0.9,-820.8929751531015,0.1,SUCCESS,1
6144,8192,8.0,400,24,8,4,4,10,0.9,-801.4659985022914,0.1,SUCCESS,1
5632,4096,8.0,300,20,1,8,4,10,0.9,-838.636611615764,0.1,SUCCESS,1
5632,21504,2.5,1,24,1,4,4,10,0.9,-831.5556118860138,0.1,SUCCESS,1
6656,23552,7.5,300,16,16,8,4,10,0.9,-823.3818535984102,0.1,SUCCESS,1
768,19456,2.0,100,16,1,4,4,5,0.9,-296.3231264094125,0.1,SUCCESS,1
5632,14336,1.5,1,64,2,8,4,10,0.9,-836.3462255274865,0.1,SUCCESS,1
5632,6990,5.5,1,32,1,8,10,10,0.9,-822.1779741895506,0.1,SUCCESS,1
4608,13312,2.5,200,64,2,8,4,10,0.9,-758.8503141595368,0.1,SUCCESS,1
6656,13312,3.0,100,64,16,8,4,10,0.9,-805.6507639598964,0.1,SUCCESS,1
6656,29696,4.5,1,32,16,4,4,10,0.9,-792.4597476165711,0.1,SUCCESS,1
7680,13312,2.5,1,24,1,8,10,10,0.9,-824.7707600260717,0.1,SUCCESS,1
5632,6144,2.5,1,4,16,4,4,10,0.9,-569.4244283766443,0.1,SUCCESS,1
6144,13312,3.5,100,24,4,8,4,10,0.9,-824.9954036454534,0.1,SUCCESS,1
7680,13312,2.0,1,64,1,8,4,5,0.9,-696.0648952665955,0.1,SUCCESS,1
5632,8192,6.5,300,20,16,8,4,10,0.9,-820.854990511798,0.1,SUCCESS,1
7680,5120,6.0,100,16,16,4,4,10,0.9,-835.6005495132042,0.1,SUCCESS,1
